[2024-04-24 21:31:48,360][test.py][line:111][INFO] start training on GPU 0!
[2024-04-24 21:31:48,361][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-24 21:39:10,518][test.py][line:143][INFO] Epoch: 1, train_loss: 2.0444, train_acc: 48.17, train_micro_fscore: 57.14, train_macro_fscore: 29.9, time: 413.6 sec
[2024-04-24 21:45:41,198][test.py][line:143][INFO] Epoch: 2, train_loss: 1.4133, train_acc: 49.98, train_micro_fscore: 61.75, train_macro_fscore: 24.56, time: 390.68 sec
[2024-04-24 21:51:24,858][test.py][line:143][INFO] Epoch: 3, train_loss: 0.964, train_acc: 50.59, train_micro_fscore: 62.77, train_macro_fscore: 22.89, time: 343.64 sec
[2024-04-24 21:56:58,602][test.py][line:143][INFO] Epoch: 4, train_loss: 0.9525, train_acc: 50.66, train_micro_fscore: 62.89, train_macro_fscore: 22.64, time: 333.74 sec
[2024-04-24 22:02:38,680][test.py][line:143][INFO] Epoch: 5, train_loss: 0.9487, train_acc: 50.62, train_micro_fscore: 62.87, train_macro_fscore: 22.6, time: 340.08 sec
[2024-04-24 22:08:21,432][test.py][line:143][INFO] Epoch: 6, train_loss: 0.9484, train_acc: 50.65, train_micro_fscore: 62.9, train_macro_fscore: 22.63, time: 342.75 sec
[2024-04-24 22:13:40,997][test.py][line:143][INFO] Epoch: 7, train_loss: 0.946, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.43, time: 319.57 sec
[2024-04-24 22:19:04,156][test.py][line:143][INFO] Epoch: 8, train_loss: 0.9448, train_acc: 50.67, train_micro_fscore: 62.94, train_macro_fscore: 22.5, time: 323.16 sec
[2024-04-24 22:24:32,662][test.py][line:143][INFO] Epoch: 9, train_loss: 0.947, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.43, time: 328.51 sec
[2024-04-24 22:29:59,503][test.py][line:143][INFO] Epoch: 10, train_loss: 1.1795, train_acc: 50.61, train_micro_fscore: 62.83, train_macro_fscore: 22.69, time: 326.84 sec
[2024-04-24 22:35:25,017][test.py][line:143][INFO] Epoch: 11, train_loss: 0.9466, train_acc: 50.66, train_micro_fscore: 62.91, train_macro_fscore: 22.57, time: 325.51 sec
[2024-04-24 22:41:04,746][test.py][line:143][INFO] Epoch: 12, train_loss: 0.9466, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 339.73 sec
[2024-04-24 22:47:07,569][test.py][line:143][INFO] Epoch: 13, train_loss: 0.9456, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 362.82 sec
[2024-04-24 22:52:56,272][test.py][line:143][INFO] Epoch: 14, train_loss: 0.946, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 348.7 sec
[2024-04-24 22:59:05,512][test.py][line:143][INFO] Epoch: 15, train_loss: 0.9465, train_acc: 50.67, train_micro_fscore: 62.94, train_macro_fscore: 22.5, time: 369.24 sec
[2024-04-24 23:06:01,443][test.py][line:143][INFO] Epoch: 16, train_loss: 0.9461, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 415.93 sec
[2024-04-24 23:12:03,360][test.py][line:143][INFO] Epoch: 17, train_loss: 0.9471, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 361.92 sec
[2024-04-24 23:17:51,988][test.py][line:143][INFO] Epoch: 18, train_loss: 0.9467, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 348.63 sec
[2024-04-24 23:23:42,743][test.py][line:143][INFO] Epoch: 19, train_loss: 0.9459, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 350.75 sec
