[2024-06-14 20:02:56,031][test.py][line:111][INFO] start training on GPU 0!
[2024-06-14 20:02:56,031][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-06-14 20:03:08,307][test.py][line:143][INFO] Epoch: 1, train_loss: 0.7911, train_acc: 69.87, train_micro_fscore: 77.84, train_macro_fscore: 29.93, time: 12.06 sec
[2024-06-14 20:03:20,080][test.py][line:143][INFO] Epoch: 2, train_loss: 0.5676, train_acc: 72.94, train_micro_fscore: 84.0, train_macro_fscore: 48.21, time: 11.77 sec
[2024-06-14 20:03:31,961][test.py][line:143][INFO] Epoch: 3, train_loss: 0.5434, train_acc: 80.61, train_micro_fscore: 89.27, train_macro_fscore: 44.63, time: 11.88 sec
[2024-06-14 20:03:43,980][test.py][line:143][INFO] Epoch: 4, train_loss: 0.5379, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.02 sec
[2024-06-14 20:03:55,989][test.py][line:143][INFO] Epoch: 5, train_loss: 0.5575, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.01 sec
[2024-06-14 20:04:08,078][test.py][line:143][INFO] Epoch: 6, train_loss: 0.5166, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.09 sec
[2024-06-14 20:04:20,666][test.py][line:143][INFO] Epoch: 7, train_loss: 0.5255, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.59 sec
[2024-06-14 20:04:33,116][test.py][line:143][INFO] Epoch: 8, train_loss: 0.5218, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.45 sec
[2024-06-14 20:04:45,030][test.py][line:143][INFO] Epoch: 9, train_loss: 0.5259, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.91 sec
[2024-06-14 20:04:57,040][test.py][line:143][INFO] Epoch: 10, train_loss: 0.5199, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.01 sec
[2024-06-14 20:05:09,004][test.py][line:143][INFO] Epoch: 11, train_loss: 0.5107, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.96 sec
[2024-06-14 20:05:20,789][test.py][line:143][INFO] Epoch: 12, train_loss: 0.515, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.79 sec
[2024-06-14 20:05:32,797][test.py][line:143][INFO] Epoch: 13, train_loss: 0.5005, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.01 sec
[2024-06-14 20:05:44,591][test.py][line:143][INFO] Epoch: 14, train_loss: 0.5248, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.79 sec
[2024-06-14 20:05:56,439][test.py][line:143][INFO] Epoch: 15, train_loss: 0.4902, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.85 sec
[2024-06-14 20:06:07,892][test.py][line:143][INFO] Epoch: 16, train_loss: 0.4817, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.45 sec
[2024-06-14 20:06:20,284][test.py][line:143][INFO] Epoch: 17, train_loss: 0.496, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.39 sec
[2024-06-14 20:06:32,154][test.py][line:143][INFO] Epoch: 18, train_loss: 0.5268, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.87 sec
[2024-06-14 20:06:44,442][test.py][line:143][INFO] Epoch: 19, train_loss: 0.5359, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.29 sec
[2024-06-14 20:06:56,423][test.py][line:143][INFO] Epoch: 20, train_loss: 0.5373, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.98 sec
[2024-06-14 20:07:08,497][test.py][line:143][INFO] Epoch: 21, train_loss: 0.4915, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.07 sec
[2024-06-14 20:07:20,442][test.py][line:143][INFO] Epoch: 22, train_loss: 0.5292, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.94 sec
[2024-06-14 20:07:32,368][test.py][line:143][INFO] Epoch: 23, train_loss: 0.5045, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.93 sec
[2024-06-14 20:07:44,433][test.py][line:143][INFO] Epoch: 24, train_loss: 0.522, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.06 sec
[2024-06-14 20:07:56,516][test.py][line:143][INFO] Epoch: 25, train_loss: 0.5056, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 12.08 sec
[2024-06-14 20:08:08,510][test.py][line:143][INFO] Epoch: 26, train_loss: 0.5232, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.99 sec
[2024-06-14 20:08:20,465][test.py][line:143][INFO] Epoch: 27, train_loss: 0.5472, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.95 sec
[2024-06-14 20:08:32,413][test.py][line:143][INFO] Epoch: 28, train_loss: 0.6893, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.95 sec
[2024-06-14 20:08:44,357][test.py][line:143][INFO] Epoch: 29, train_loss: 0.5255, train_acc: 80.81, train_micro_fscore: 89.38, train_macro_fscore: 44.69, time: 11.94 sec
[2024-06-14 20:08:56,823][test.py][line:143][INFO] Epoch: 30, train_loss: 0.4989, train_acc: 81.0, train_micro_fscore: 89.48, train_macro_fscore: 45.73, time: 12.46 sec
[2024-06-14 20:09:08,833][test.py][line:143][INFO] Epoch: 31, train_loss: 0.5277, train_acc: 80.81, train_micro_fscore: 89.36, train_macro_fscore: 45.66, time: 12.01 sec
[2024-06-14 20:09:20,641][test.py][line:143][INFO] Epoch: 32, train_loss: 0.4974, train_acc: 80.61, train_micro_fscore: 89.24, train_macro_fscore: 45.59, time: 11.81 sec
[2024-06-14 20:09:32,470][test.py][line:143][INFO] Epoch: 33, train_loss: 0.5329, train_acc: 80.04, train_micro_fscore: 88.91, train_macro_fscore: 44.46, time: 11.83 sec
[2024-06-14 20:09:44,546][test.py][line:143][INFO] Epoch: 34, train_loss: 0.7512, train_acc: 80.42, train_micro_fscore: 89.13, train_macro_fscore: 45.52, time: 12.08 sec
[2024-06-14 20:09:56,253][test.py][line:143][INFO] Epoch: 35, train_loss: 0.6488, train_acc: 77.74, train_micro_fscore: 87.47, train_macro_fscore: 43.74, time: 11.71 sec
[2024-06-14 20:10:08,233][test.py][line:143][INFO] Epoch: 36, train_loss: 0.6203, train_acc: 79.65, train_micro_fscore: 88.68, train_macro_fscore: 44.34, time: 11.98 sec
[2024-06-14 20:10:20,168][test.py][line:143][INFO] Epoch: 37, train_loss: 0.4941, train_acc: 81.19, train_micro_fscore: 89.51, train_macro_fscore: 49.38, time: 11.94 sec
[2024-06-14 20:10:32,016][test.py][line:143][INFO] Epoch: 38, train_loss: 0.608, train_acc: 81.38, train_micro_fscore: 89.6, train_macro_fscore: 50.31, time: 11.85 sec
[2024-06-14 20:10:44,122][test.py][line:143][INFO] Epoch: 39, train_loss: 0.9071, train_acc: 79.08, train_micro_fscore: 87.98, train_macro_fscore: 53.62, time: 12.11 sec
[2024-06-14 20:10:56,539][test.py][line:143][INFO] Epoch: 40, train_loss: 1.0385, train_acc: 78.89, train_micro_fscore: 87.75, train_macro_fscore: 55.68, time: 12.42 sec
[2024-06-14 20:11:08,250][test.py][line:143][INFO] Epoch: 41, train_loss: 1.5745, train_acc: 80.81, train_micro_fscore: 89.29, train_macro_fscore: 48.35, time: 11.71 sec
[2024-06-14 20:11:19,988][test.py][line:143][INFO] Epoch: 42, train_loss: 4.3393, train_acc: 80.23, train_micro_fscore: 88.96, train_macro_fscore: 47.23, time: 11.74 sec
[2024-06-14 20:11:31,599][test.py][line:143][INFO] Epoch: 43, train_loss: 0.8871, train_acc: 80.42, train_micro_fscore: 89.01, train_macro_fscore: 49.77, time: 11.61 sec
[2024-06-14 20:11:43,140][test.py][line:143][INFO] Epoch: 44, train_loss: 0.6347, train_acc: 80.61, train_micro_fscore: 89.24, train_macro_fscore: 45.59, time: 11.54 sec
[2024-06-14 20:11:54,760][test.py][line:143][INFO] Epoch: 45, train_loss: 0.9829, train_acc: 77.74, train_micro_fscore: 87.22, train_macro_fscore: 50.33, time: 11.62 sec
[2024-06-14 20:12:06,276][test.py][line:143][INFO] Epoch: 46, train_loss: 0.5687, train_acc: 80.42, train_micro_fscore: 89.06, train_macro_fscore: 48.16, time: 11.52 sec
[2024-06-14 20:12:17,677][test.py][line:143][INFO] Epoch: 47, train_loss: 0.5069, train_acc: 81.0, train_micro_fscore: 89.32, train_macro_fscore: 51.62, time: 11.4 sec
[2024-06-14 20:12:29,214][test.py][line:143][INFO] Epoch: 48, train_loss: 0.4903, train_acc: 81.38, train_micro_fscore: 89.58, train_macro_fscore: 51.1, time: 11.54 sec
[2024-06-14 20:12:40,788][test.py][line:143][INFO] Epoch: 49, train_loss: 0.492, train_acc: 79.65, train_micro_fscore: 88.58, train_macro_fscore: 47.8, time: 11.57 sec
[2024-06-14 20:12:52,381][test.py][line:143][INFO] Epoch: 50, train_loss: 0.4864, train_acc: 80.42, train_micro_fscore: 89.03, train_macro_fscore: 48.98, time: 11.59 sec
[2024-06-14 20:13:03,794][test.py][line:143][INFO] Epoch: 51, train_loss: 0.5274, train_acc: 79.85, train_micro_fscore: 88.79, train_macro_fscore: 44.4, time: 11.41 sec
[2024-06-14 20:13:15,348][test.py][line:143][INFO] Epoch: 52, train_loss: 0.4793, train_acc: 81.0, train_micro_fscore: 89.46, train_macro_fscore: 46.67, time: 11.55 sec
[2024-06-14 20:13:27,119][test.py][line:143][INFO] Epoch: 53, train_loss: 0.462, train_acc: 79.85, train_micro_fscore: 88.57, train_macro_fscore: 51.6, time: 11.77 sec
[2024-06-14 20:13:39,024][test.py][line:143][INFO] Epoch: 54, train_loss: 0.4601, train_acc: 81.0, train_micro_fscore: 89.27, train_macro_fscore: 53.04, time: 11.9 sec
[2024-06-14 20:13:50,789][test.py][line:143][INFO] Epoch: 55, train_loss: 0.5814, train_acc: 79.85, train_micro_fscore: 88.45, train_macro_fscore: 54.75, time: 11.76 sec
[2024-06-14 20:14:02,593][test.py][line:143][INFO] Epoch: 56, train_loss: 0.8871, train_acc: 81.19, train_micro_fscore: 89.55, train_macro_fscore: 47.66, time: 11.8 sec
[2024-06-14 20:14:14,212][test.py][line:143][INFO] Epoch: 57, train_loss: 0.7623, train_acc: 77.54, train_micro_fscore: 87.1, train_macro_fscore: 50.22, time: 11.62 sec
[2024-06-14 20:14:25,918][test.py][line:143][INFO] Epoch: 58, train_loss: 0.6644, train_acc: 80.42, train_micro_fscore: 89.1, train_macro_fscore: 46.44, time: 11.71 sec
[2024-06-14 20:14:37,635][test.py][line:143][INFO] Epoch: 59, train_loss: 0.5197, train_acc: 80.81, train_micro_fscore: 89.34, train_macro_fscore: 46.59, time: 11.72 sec
[2024-06-14 20:14:49,281][test.py][line:143][INFO] Epoch: 60, train_loss: 0.5558, train_acc: 80.23, train_micro_fscore: 88.96, train_macro_fscore: 47.23, time: 11.65 sec
[2024-06-14 20:14:49,281][test.py][line:151][INFO] finish training!
