[2024-04-22 21:58:22,241][test.py][line:111][INFO] start training on GPU 0!
[2024-04-22 21:58:22,241][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-22 22:03:42,271][test.py][line:143][INFO] Epoch: 1, train_loss: 10.7991, train_acc: 64.69, train_micro_fscore: 73.76, train_macro_fscore: 28.03, time: 292.8 sec
[2024-04-22 22:08:54,084][test.py][line:143][INFO] Epoch: 2, train_loss: 1.8376, train_acc: 65.85, train_micro_fscore: 74.74, train_macro_fscore: 26.82, time: 311.81 sec
[2024-04-22 22:14:00,520][test.py][line:143][INFO] Epoch: 3, train_loss: 1.4481, train_acc: 66.15, train_micro_fscore: 74.97, train_macro_fscore: 26.56, time: 306.44 sec
[2024-04-22 22:19:05,129][test.py][line:143][INFO] Epoch: 4, train_loss: 0.8555, train_acc: 66.14, train_micro_fscore: 74.97, train_macro_fscore: 26.58, time: 304.61 sec
[2024-04-22 22:24:15,465][test.py][line:143][INFO] Epoch: 5, train_loss: 0.8498, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 310.34 sec
[2024-04-22 22:29:23,058][test.py][line:143][INFO] Epoch: 6, train_loss: 0.8489, train_acc: 66.15, train_micro_fscore: 74.97, train_macro_fscore: 26.55, time: 307.59 sec
[2024-04-22 22:34:49,430][test.py][line:143][INFO] Epoch: 7, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.37 sec
[2024-04-22 22:40:18,136][test.py][line:143][INFO] Epoch: 8, train_loss: 0.8485, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.71 sec
[2024-04-22 22:45:50,302][test.py][line:143][INFO] Epoch: 9, train_loss: 0.8502, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 332.17 sec
[2024-04-22 22:51:20,073][test.py][line:143][INFO] Epoch: 10, train_loss: 0.8496, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.77 sec
[2024-04-22 22:56:51,691][test.py][line:143][INFO] Epoch: 11, train_loss: 0.848, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.62 sec
[2024-04-22 23:02:18,341][test.py][line:143][INFO] Epoch: 12, train_loss: 0.8487, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.65 sec
[2024-04-22 23:07:48,727][test.py][line:143][INFO] Epoch: 13, train_loss: 0.8486, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.39 sec
[2024-04-22 23:13:18,286][test.py][line:143][INFO] Epoch: 14, train_loss: 0.8481, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.56 sec
[2024-04-22 23:18:46,288][test.py][line:143][INFO] Epoch: 15, train_loss: 0.8486, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.0 sec
[2024-04-22 23:24:14,083][test.py][line:143][INFO] Epoch: 16, train_loss: 0.8501, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.79 sec
[2024-04-22 23:29:41,455][test.py][line:143][INFO] Epoch: 17, train_loss: 0.8499, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.37 sec
[2024-04-22 23:35:09,253][test.py][line:143][INFO] Epoch: 18, train_loss: 0.8483, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.8 sec
[2024-04-22 23:40:39,675][test.py][line:143][INFO] Epoch: 19, train_loss: 0.8497, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.42 sec
[2024-04-22 23:46:10,348][test.py][line:143][INFO] Epoch: 20, train_loss: 0.849, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.67 sec
[2024-04-22 23:51:37,719][test.py][line:143][INFO] Epoch: 21, train_loss: 0.8502, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.37 sec
[2024-04-22 23:57:08,718][test.py][line:143][INFO] Epoch: 22, train_loss: 0.8499, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.0 sec
[2024-04-23 00:02:38,679][test.py][line:143][INFO] Epoch: 23, train_loss: 0.8489, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.96 sec
[2024-04-23 00:08:10,180][test.py][line:143][INFO] Epoch: 24, train_loss: 0.8485, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.5 sec
[2024-04-23 00:13:38,769][test.py][line:143][INFO] Epoch: 25, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.59 sec
[2024-04-23 00:19:05,761][test.py][line:143][INFO] Epoch: 26, train_loss: 0.8506, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.99 sec
[2024-04-23 00:24:34,189][test.py][line:143][INFO] Epoch: 27, train_loss: 0.8478, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.43 sec
[2024-04-23 00:30:02,658][test.py][line:143][INFO] Epoch: 28, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.47 sec
[2024-04-23 00:35:34,101][test.py][line:143][INFO] Epoch: 29, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.44 sec
[2024-04-23 00:41:02,814][test.py][line:143][INFO] Epoch: 30, train_loss: 0.8503, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.71 sec
[2024-04-23 00:46:31,358][test.py][line:143][INFO] Epoch: 31, train_loss: 0.8484, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.54 sec
[2024-04-23 00:52:08,766][test.py][line:143][INFO] Epoch: 32, train_loss: 0.85, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 337.41 sec
[2024-04-23 00:57:38,261][test.py][line:143][INFO] Epoch: 33, train_loss: 0.8503, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.49 sec
[2024-04-23 01:03:11,980][test.py][line:143][INFO] Epoch: 34, train_loss: 0.8485, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 333.72 sec
[2024-04-23 01:08:42,844][test.py][line:143][INFO] Epoch: 35, train_loss: 0.8487, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.86 sec
[2024-04-23 01:14:12,004][test.py][line:143][INFO] Epoch: 36, train_loss: 0.8501, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.16 sec
[2024-04-23 01:19:43,477][test.py][line:143][INFO] Epoch: 37, train_loss: 0.8502, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.47 sec
[2024-04-23 01:25:13,455][test.py][line:143][INFO] Epoch: 38, train_loss: 0.8487, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.98 sec
[2024-04-23 01:30:44,603][test.py][line:143][INFO] Epoch: 39, train_loss: 0.8501, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.15 sec
[2024-04-23 01:36:13,045][test.py][line:143][INFO] Epoch: 40, train_loss: 0.8495, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.44 sec
[2024-04-23 01:41:40,250][test.py][line:143][INFO] Epoch: 41, train_loss: 0.85, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.2 sec
[2024-04-23 01:47:09,259][test.py][line:143][INFO] Epoch: 42, train_loss: 0.8497, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.01 sec
[2024-04-23 01:52:39,584][test.py][line:143][INFO] Epoch: 43, train_loss: 0.8496, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.33 sec
[2024-04-23 01:58:11,166][test.py][line:143][INFO] Epoch: 44, train_loss: 0.8473, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.58 sec
[2024-04-23 02:03:38,189][test.py][line:143][INFO] Epoch: 45, train_loss: 0.849, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.02 sec
[2024-04-23 02:09:11,341][test.py][line:143][INFO] Epoch: 46, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 333.15 sec
[2024-04-23 02:14:40,575][test.py][line:143][INFO] Epoch: 47, train_loss: 0.8474, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.23 sec
[2024-04-23 02:20:09,281][test.py][line:143][INFO] Epoch: 48, train_loss: 0.8489, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.71 sec
[2024-04-23 02:25:39,507][test.py][line:143][INFO] Epoch: 49, train_loss: 0.8495, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.23 sec
[2024-04-23 02:31:06,903][test.py][line:143][INFO] Epoch: 50, train_loss: 0.8498, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.4 sec
[2024-04-23 02:36:38,256][test.py][line:143][INFO] Epoch: 51, train_loss: 0.8494, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.35 sec
[2024-04-23 02:42:11,519][test.py][line:143][INFO] Epoch: 52, train_loss: 0.8486, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 333.26 sec
[2024-04-23 02:47:39,285][test.py][line:143][INFO] Epoch: 53, train_loss: 0.8504, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.77 sec
[2024-04-23 02:53:07,811][test.py][line:143][INFO] Epoch: 54, train_loss: 0.8502, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.53 sec
[2024-04-23 02:58:38,401][test.py][line:143][INFO] Epoch: 55, train_loss: 0.8498, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.59 sec
[2024-04-23 03:04:09,575][test.py][line:143][INFO] Epoch: 56, train_loss: 0.8467, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.17 sec
[2024-04-23 03:09:47,740][test.py][line:143][INFO] Epoch: 57, train_loss: 0.8499, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 338.17 sec
[2024-04-23 03:15:16,128][test.py][line:143][INFO] Epoch: 58, train_loss: 0.85, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.39 sec
[2024-04-23 03:20:48,651][test.py][line:143][INFO] Epoch: 59, train_loss: 0.8496, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 332.52 sec
