[2024-04-21 15:35:13,085][test.py][line:111][INFO] start training on GPU 0!
[2024-04-21 15:35:13,085][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-21 15:41:00,905][test.py][line:143][INFO] Epoch: 1, train_loss: 2.3571, train_acc: 46.68, train_micro_fscore: 23.53, train_macro_fscore: 29.49, time: 320.25 sec
[2024-04-21 15:46:35,212][test.py][line:143][INFO] Epoch: 2, train_loss: 1.6332, train_acc: 48.21, train_micro_fscore: 9.71, train_macro_fscore: 25.35, time: 334.31 sec
[2024-04-21 15:52:11,971][test.py][line:143][INFO] Epoch: 3, train_loss: 1.0071, train_acc: 48.66, train_micro_fscore: 3.03, train_macro_fscore: 22.99, time: 336.76 sec
[2024-04-21 15:57:45,286][test.py][line:143][INFO] Epoch: 4, train_loss: 0.9598, train_acc: 48.87, train_micro_fscore: 4.49, train_macro_fscore: 23.59, time: 333.32 sec
[2024-04-21 16:03:17,861][test.py][line:143][INFO] Epoch: 5, train_loss: 0.9856, train_acc: 48.88, train_micro_fscore: 4.01, train_macro_fscore: 23.47, time: 332.57 sec
[2024-04-21 16:08:47,070][test.py][line:143][INFO] Epoch: 6, train_loss: 0.9503, train_acc: 49.1, train_micro_fscore: 5.37, train_macro_fscore: 23.99, time: 329.21 sec
[2024-04-21 16:14:16,341][test.py][line:143][INFO] Epoch: 7, train_loss: 0.9548, train_acc: 49.04, train_micro_fscore: 6.36, train_macro_fscore: 24.33, time: 329.27 sec
[2024-04-21 16:19:46,763][test.py][line:143][INFO] Epoch: 8, train_loss: 0.95, train_acc: 49.24, train_micro_fscore: 7.71, train_macro_fscore: 24.88, time: 330.42 sec
[2024-04-21 16:25:17,208][test.py][line:143][INFO] Epoch: 9, train_loss: 0.95, train_acc: 49.15, train_micro_fscore: 5.97, train_macro_fscore: 24.22, time: 330.45 sec
[2024-04-21 16:31:08,805][test.py][line:143][INFO] Epoch: 10, train_loss: 0.951, train_acc: 49.1, train_micro_fscore: 6.51, train_macro_fscore: 24.4, time: 351.6 sec
[2024-04-21 16:37:08,913][test.py][line:143][INFO] Epoch: 11, train_loss: 0.9494, train_acc: 49.22, train_micro_fscore: 6.27, train_macro_fscore: 24.35, time: 360.11 sec
[2024-04-21 16:43:03,675][test.py][line:143][INFO] Epoch: 12, train_loss: 0.9499, train_acc: 49.15, train_micro_fscore: 4.92, train_macro_fscore: 23.83, time: 354.76 sec
[2024-04-21 16:48:55,094][test.py][line:143][INFO] Epoch: 13, train_loss: 0.9494, train_acc: 49.17, train_micro_fscore: 6.42, train_macro_fscore: 24.39, time: 351.42 sec
[2024-04-21 16:54:46,327][test.py][line:143][INFO] Epoch: 14, train_loss: 0.9491, train_acc: 49.29, train_micro_fscore: 6.7, train_macro_fscore: 24.53, time: 351.23 sec
[2024-04-21 17:00:37,426][test.py][line:143][INFO] Epoch: 15, train_loss: 1.0987, train_acc: 49.23, train_micro_fscore: 5.82, train_macro_fscore: 24.18, time: 351.1 sec
[2024-04-21 17:06:34,964][test.py][line:143][INFO] Epoch: 16, train_loss: 0.9499, train_acc: 49.1, train_micro_fscore: 6.13, train_macro_fscore: 24.25, time: 357.54 sec
[2024-04-21 17:12:35,248][test.py][line:143][INFO] Epoch: 17, train_loss: 0.9491, train_acc: 49.32, train_micro_fscore: 7.09, train_macro_fscore: 24.67, time: 360.28 sec
[2024-04-21 17:18:33,631][test.py][line:143][INFO] Epoch: 18, train_loss: 0.9486, train_acc: 49.25, train_micro_fscore: 7.94, train_macro_fscore: 24.95, time: 358.38 sec
[2024-04-21 17:24:31,006][test.py][line:143][INFO] Epoch: 19, train_loss: 0.9467, train_acc: 49.4, train_micro_fscore: 10.07, train_macro_fscore: 25.76, time: 357.37 sec
[2024-04-21 17:30:26,388][test.py][line:143][INFO] Epoch: 20, train_loss: 0.9474, train_acc: 49.45, train_micro_fscore: 9.75, train_macro_fscore: 25.67, time: 355.38 sec
[2024-04-21 17:36:24,576][test.py][line:143][INFO] Epoch: 21, train_loss: 0.9573, train_acc: 49.25, train_micro_fscore: 7.09, train_macro_fscore: 24.65, time: 358.19 sec
[2024-04-21 17:42:23,612][test.py][line:143][INFO] Epoch: 22, train_loss: 0.9564, train_acc: 49.21, train_micro_fscore: 7.08, train_macro_fscore: 24.64, time: 359.04 sec
[2024-04-21 17:48:24,533][test.py][line:143][INFO] Epoch: 23, train_loss: 0.949, train_acc: 49.28, train_micro_fscore: 8.29, train_macro_fscore: 25.1, time: 360.92 sec
[2024-04-21 17:54:22,949][test.py][line:143][INFO] Epoch: 24, train_loss: 0.9518, train_acc: 49.09, train_micro_fscore: 3.65, train_macro_fscore: 23.34, time: 358.42 sec
[2024-04-21 18:00:21,635][test.py][line:143][INFO] Epoch: 25, train_loss: 0.95, train_acc: 49.08, train_micro_fscore: 4.19, train_macro_fscore: 23.53, time: 358.69 sec
[2024-04-21 18:06:29,606][test.py][line:143][INFO] Epoch: 26, train_loss: 0.9502, train_acc: 49.18, train_micro_fscore: 4.63, train_macro_fscore: 23.72, time: 367.97 sec
[2024-04-21 18:12:35,252][test.py][line:143][INFO] Epoch: 27, train_loss: 0.9483, train_acc: 49.11, train_micro_fscore: 4.53, train_macro_fscore: 23.67, time: 365.64 sec
[2024-04-21 18:18:40,384][test.py][line:143][INFO] Epoch: 28, train_loss: 0.9498, train_acc: 49.09, train_micro_fscore: 3.43, train_macro_fscore: 23.25, time: 365.13 sec
[2024-04-21 18:24:49,344][test.py][line:143][INFO] Epoch: 29, train_loss: 0.9489, train_acc: 49.1, train_micro_fscore: 3.76, train_macro_fscore: 23.38, time: 368.96 sec
[2024-04-21 18:30:51,360][test.py][line:143][INFO] Epoch: 30, train_loss: 0.9502, train_acc: 49.11, train_micro_fscore: 4.57, train_macro_fscore: 23.68, time: 362.01 sec
[2024-04-21 18:36:53,224][test.py][line:143][INFO] Epoch: 31, train_loss: 0.9486, train_acc: 49.09, train_micro_fscore: 4.27, train_macro_fscore: 23.57, time: 361.86 sec
[2024-04-21 18:42:53,823][test.py][line:143][INFO] Epoch: 32, train_loss: 0.9502, train_acc: 49.06, train_micro_fscore: 3.66, train_macro_fscore: 23.33, time: 360.6 sec
[2024-04-21 18:48:52,825][test.py][line:143][INFO] Epoch: 33, train_loss: 0.9589, train_acc: 49.14, train_micro_fscore: 4.63, train_macro_fscore: 23.72, time: 359.0 sec
[2024-04-21 18:54:52,793][test.py][line:143][INFO] Epoch: 34, train_loss: 0.9479, train_acc: 49.17, train_micro_fscore: 4.63, train_macro_fscore: 23.73, time: 359.97 sec
[2024-04-21 19:00:50,539][test.py][line:143][INFO] Epoch: 35, train_loss: 0.9483, train_acc: 49.13, train_micro_fscore: 4.13, train_macro_fscore: 23.53, time: 357.75 sec
[2024-04-21 19:06:45,759][test.py][line:143][INFO] Epoch: 36, train_loss: 0.9506, train_acc: 49.1, train_micro_fscore: 5.51, train_macro_fscore: 24.03, time: 355.22 sec
[2024-04-21 19:12:46,016][test.py][line:143][INFO] Epoch: 37, train_loss: 0.9478, train_acc: 49.19, train_micro_fscore: 7.06, train_macro_fscore: 24.62, time: 360.26 sec
[2024-04-21 19:18:44,219][test.py][line:143][INFO] Epoch: 38, train_loss: 0.9496, train_acc: 49.12, train_micro_fscore: 4.55, train_macro_fscore: 23.68, time: 358.2 sec
[2024-04-21 19:24:39,071][test.py][line:143][INFO] Epoch: 39, train_loss: 99.2492, train_acc: 49.2, train_micro_fscore: 4.0, train_macro_fscore: 23.49, time: 354.85 sec
