[2024-04-23 15:36:22,711][test.py][line:111][INFO] start training on GPU 0!
[2024-04-23 15:36:22,712][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-23 15:43:40,378][test.py][line:143][INFO] Epoch: 1, train_loss: 2.5711, train_acc: 49.57, train_micro_fscore: 59.84, train_macro_fscore: 28.58, time: 400.67 sec
[2024-04-23 15:49:25,818][test.py][line:143][INFO] Epoch: 2, train_loss: 35.3457, train_acc: 51.12, train_micro_fscore: 62.69, train_macro_fscore: 25.21, time: 345.44 sec
[2024-04-23 15:54:33,654][test.py][line:143][INFO] Epoch: 3, train_loss: 1.3536, train_acc: 51.78, train_micro_fscore: 63.68, train_macro_fscore: 23.69, time: 307.83 sec
[2024-04-23 15:59:40,606][test.py][line:143][INFO] Epoch: 4, train_loss: 13.2326, train_acc: 51.84, train_micro_fscore: 63.89, train_macro_fscore: 23.01, time: 306.95 sec
[2024-04-23 16:04:49,966][test.py][line:143][INFO] Epoch: 5, train_loss: 1.5611, train_acc: 51.86, train_micro_fscore: 63.93, train_macro_fscore: 22.95, time: 309.36 sec
[2024-04-23 16:09:58,761][test.py][line:143][INFO] Epoch: 6, train_loss: 0.943, train_acc: 51.85, train_micro_fscore: 63.93, train_macro_fscore: 22.87, time: 308.79 sec
[2024-04-23 16:15:07,001][test.py][line:143][INFO] Epoch: 7, train_loss: 0.9428, train_acc: 51.86, train_micro_fscore: 63.95, train_macro_fscore: 22.81, time: 308.24 sec
[2024-04-23 16:20:12,359][test.py][line:143][INFO] Epoch: 8, train_loss: 0.9416, train_acc: 51.87, train_micro_fscore: 63.97, train_macro_fscore: 22.77, time: 305.36 sec
[2024-04-23 16:25:20,784][test.py][line:143][INFO] Epoch: 9, train_loss: 0.952, train_acc: 51.81, train_micro_fscore: 63.83, train_macro_fscore: 23.13, time: 308.42 sec
[2024-04-23 16:30:27,438][test.py][line:143][INFO] Epoch: 10, train_loss: 0.9438, train_acc: 51.82, train_micro_fscore: 63.8, train_macro_fscore: 23.34, time: 306.65 sec
[2024-04-23 16:35:37,237][test.py][line:143][INFO] Epoch: 11, train_loss: 0.9441, train_acc: 51.82, train_micro_fscore: 63.87, train_macro_fscore: 22.99, time: 309.8 sec
[2024-04-23 16:40:48,042][test.py][line:143][INFO] Epoch: 12, train_loss: 0.9439, train_acc: 51.86, train_micro_fscore: 63.94, train_macro_fscore: 22.84, time: 310.8 sec
[2024-04-23 16:45:57,238][test.py][line:143][INFO] Epoch: 13, train_loss: 0.9423, train_acc: 51.87, train_micro_fscore: 63.92, train_macro_fscore: 23.0, time: 309.2 sec
[2024-04-23 16:51:10,607][test.py][line:143][INFO] Epoch: 14, train_loss: 0.943, train_acc: 51.87, train_micro_fscore: 63.96, train_macro_fscore: 22.79, time: 313.37 sec
[2024-04-23 16:56:32,419][test.py][line:143][INFO] Epoch: 15, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 321.81 sec
[2024-04-23 17:01:55,436][test.py][line:143][INFO] Epoch: 16, train_loss: 0.9428, train_acc: 51.87, train_micro_fscore: 63.97, train_macro_fscore: 22.8, time: 323.01 sec
[2024-04-23 17:07:18,029][test.py][line:143][INFO] Epoch: 17, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 322.59 sec
[2024-04-23 17:12:38,268][test.py][line:143][INFO] Epoch: 18, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.96, train_macro_fscore: 22.81, time: 320.24 sec
[2024-04-23 17:18:00,559][test.py][line:143][INFO] Epoch: 19, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.97, train_macro_fscore: 22.77, time: 322.29 sec
[2024-04-23 17:23:23,912][test.py][line:143][INFO] Epoch: 20, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.97, train_macro_fscore: 22.81, time: 323.35 sec
[2024-04-23 17:28:37,639][test.py][line:143][INFO] Epoch: 21, train_loss: 0.9438, train_acc: 51.86, train_micro_fscore: 63.92, train_macro_fscore: 22.94, time: 313.73 sec
[2024-04-23 17:33:55,910][test.py][line:143][INFO] Epoch: 22, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.97, train_macro_fscore: 22.77, time: 318.27 sec
[2024-04-23 17:39:12,422][test.py][line:143][INFO] Epoch: 23, train_loss: 0.9426, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 316.51 sec
[2024-04-23 17:44:32,991][test.py][line:143][INFO] Epoch: 24, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 320.57 sec
[2024-04-23 17:49:51,547][test.py][line:143][INFO] Epoch: 25, train_loss: 0.9436, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 318.56 sec
[2024-04-23 17:55:15,982][test.py][line:143][INFO] Epoch: 26, train_loss: 0.9442, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 324.43 sec
[2024-04-23 18:00:41,109][test.py][line:143][INFO] Epoch: 27, train_loss: 0.9421, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.13 sec
[2024-04-23 18:06:12,488][test.py][line:143][INFO] Epoch: 28, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 331.38 sec
[2024-04-23 18:11:45,007][test.py][line:143][INFO] Epoch: 29, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 332.52 sec
[2024-04-23 18:17:20,429][test.py][line:143][INFO] Epoch: 30, train_loss: 0.9442, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 335.42 sec
[2024-04-23 18:22:56,906][test.py][line:143][INFO] Epoch: 31, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 336.48 sec
[2024-04-23 18:28:28,242][test.py][line:143][INFO] Epoch: 32, train_loss: 0.9441, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 331.34 sec
[2024-04-23 18:33:59,068][test.py][line:143][INFO] Epoch: 33, train_loss: 0.9445, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 330.83 sec
[2024-04-23 18:39:31,828][test.py][line:143][INFO] Epoch: 34, train_loss: 0.942, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 332.76 sec
[2024-04-23 18:45:05,664][test.py][line:143][INFO] Epoch: 35, train_loss: 0.942, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 333.84 sec
[2024-04-23 18:50:40,942][test.py][line:143][INFO] Epoch: 36, train_loss: 0.9418, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 335.28 sec
[2024-04-23 18:56:14,800][test.py][line:143][INFO] Epoch: 37, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 333.86 sec
[2024-04-23 19:01:47,316][test.py][line:143][INFO] Epoch: 38, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 332.52 sec
[2024-04-23 19:07:20,909][test.py][line:143][INFO] Epoch: 39, train_loss: 0.9437, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 333.59 sec
[2024-04-23 19:12:55,302][test.py][line:143][INFO] Epoch: 40, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 334.39 sec
[2024-04-23 19:18:26,426][test.py][line:143][INFO] Epoch: 41, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 331.12 sec
[2024-04-23 19:24:01,523][test.py][line:143][INFO] Epoch: 42, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 335.1 sec
[2024-04-23 19:29:33,574][test.py][line:143][INFO] Epoch: 43, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 332.05 sec
[2024-04-23 19:35:08,571][test.py][line:143][INFO] Epoch: 44, train_loss: 0.9418, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 335.0 sec
[2024-04-23 19:42:37,891][test.py][line:143][INFO] Epoch: 45, train_loss: 0.9429, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 449.32 sec
[2024-04-23 19:50:51,484][test.py][line:143][INFO] Epoch: 46, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 493.59 sec
[2024-04-23 19:58:47,435][test.py][line:143][INFO] Epoch: 47, train_loss: 0.9417, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 475.95 sec
[2024-04-23 20:06:50,293][test.py][line:143][INFO] Epoch: 48, train_loss: 0.9426, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 482.86 sec
[2024-04-23 20:14:51,742][test.py][line:143][INFO] Epoch: 49, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 481.45 sec
[2024-04-23 20:22:58,884][test.py][line:143][INFO] Epoch: 50, train_loss: 0.9439, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 487.14 sec
[2024-04-23 20:31:05,599][test.py][line:143][INFO] Epoch: 51, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 486.72 sec
[2024-04-23 20:38:56,541][test.py][line:143][INFO] Epoch: 52, train_loss: 0.9429, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 470.94 sec
[2024-04-23 20:46:48,385][test.py][line:143][INFO] Epoch: 53, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 471.84 sec
[2024-04-23 20:54:32,690][test.py][line:143][INFO] Epoch: 54, train_loss: 0.9439, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 464.3 sec
[2024-04-23 21:02:06,664][test.py][line:143][INFO] Epoch: 55, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 453.97 sec
[2024-04-23 21:09:43,243][test.py][line:143][INFO] Epoch: 56, train_loss: 0.9422, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 456.58 sec
[2024-04-23 21:17:08,081][test.py][line:143][INFO] Epoch: 57, train_loss: 0.9441, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 444.84 sec
[2024-04-23 21:24:35,662][test.py][line:143][INFO] Epoch: 58, train_loss: 0.9442, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 447.58 sec
[2024-04-23 21:32:10,668][test.py][line:143][INFO] Epoch: 59, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 455.01 sec
[2024-04-23 21:39:46,737][test.py][line:143][INFO] Epoch: 60, train_loss: 0.9419, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 456.07 sec
[2024-04-23 21:39:46,737][test.py][line:151][INFO] finish training!
