[2024-04-24 08:32:10,113][test.py][line:111][INFO] start training on GPU 0!
[2024-04-24 08:32:10,113][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-24 08:37:38,988][test.py][line:143][INFO] Epoch: 1, train_loss: 3.2533, train_acc: 48.31, train_micro_fscore: 57.64, train_macro_fscore: 29.67, time: 302.86 sec
[2024-04-24 08:42:58,676][test.py][line:143][INFO] Epoch: 2, train_loss: 22.7117, train_acc: 50.6, train_micro_fscore: 62.8, train_macro_fscore: 22.83, time: 319.69 sec
[2024-04-24 08:48:22,466][test.py][line:143][INFO] Epoch: 3, train_loss: 0.9528, train_acc: 50.68, train_micro_fscore: 62.95, train_macro_fscore: 22.46, time: 323.79 sec
[2024-04-24 08:53:43,524][test.py][line:143][INFO] Epoch: 4, train_loss: 0.9546, train_acc: 50.67, train_micro_fscore: 62.95, train_macro_fscore: 22.43, time: 321.06 sec
[2024-04-24 08:59:08,619][test.py][line:143][INFO] Epoch: 5, train_loss: 0.9463, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 325.1 sec
[2024-04-24 09:04:32,464][test.py][line:143][INFO] Epoch: 6, train_loss: 1.0857, train_acc: 50.49, train_micro_fscore: 62.64, train_macro_fscore: 23.0, time: 323.84 sec
[2024-04-24 09:09:46,725][test.py][line:143][INFO] Epoch: 7, train_loss: 0.9526, train_acc: 50.63, train_micro_fscore: 62.9, train_macro_fscore: 22.52, time: 314.26 sec
[2024-04-24 09:15:06,376][test.py][line:143][INFO] Epoch: 8, train_loss: 0.9449, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 319.65 sec
[2024-04-24 09:20:27,843][test.py][line:143][INFO] Epoch: 9, train_loss: 0.947, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.43, time: 321.47 sec
[2024-04-24 09:26:03,868][test.py][line:143][INFO] Epoch: 10, train_loss: 0.9468, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 336.02 sec
[2024-04-24 09:31:46,242][test.py][line:143][INFO] Epoch: 11, train_loss: 0.9462, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 342.37 sec
[2024-04-24 09:37:28,002][test.py][line:143][INFO] Epoch: 12, train_loss: 0.9466, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 341.76 sec
[2024-04-24 09:43:07,887][test.py][line:143][INFO] Epoch: 13, train_loss: 0.9455, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 339.89 sec
[2024-04-24 09:48:47,921][test.py][line:143][INFO] Epoch: 14, train_loss: 0.9459, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 340.03 sec
[2024-04-24 09:54:29,525][test.py][line:143][INFO] Epoch: 15, train_loss: 0.9464, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 341.6 sec
[2024-04-24 10:00:09,388][test.py][line:143][INFO] Epoch: 16, train_loss: 0.946, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 339.86 sec
[2024-04-24 10:05:51,665][test.py][line:143][INFO] Epoch: 17, train_loss: 0.9471, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 342.28 sec
[2024-04-24 10:11:35,696][test.py][line:143][INFO] Epoch: 18, train_loss: 0.9467, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 344.03 sec
[2024-04-24 10:17:15,363][test.py][line:143][INFO] Epoch: 19, train_loss: 0.9458, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 339.67 sec
[2024-04-24 10:22:58,187][test.py][line:143][INFO] Epoch: 20, train_loss: 0.9462, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 342.82 sec
[2024-04-24 10:28:38,380][test.py][line:143][INFO] Epoch: 21, train_loss: 0.9467, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 340.19 sec
[2024-04-24 10:34:20,860][test.py][line:143][INFO] Epoch: 22, train_loss: 0.947, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 342.48 sec
[2024-04-24 10:41:09,698][test.py][line:143][INFO] Epoch: 23, train_loss: 0.946, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 408.84 sec
[2024-04-24 10:48:05,450][test.py][line:143][INFO] Epoch: 24, train_loss: 0.9457, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 415.75 sec
[2024-04-24 10:54:53,593][test.py][line:143][INFO] Epoch: 25, train_loss: 0.9471, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 408.14 sec
[2024-04-24 11:01:46,067][test.py][line:143][INFO] Epoch: 26, train_loss: 0.9475, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 412.47 sec
[2024-04-24 11:08:35,544][test.py][line:143][INFO] Epoch: 27, train_loss: 0.9458, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 409.48 sec
[2024-04-24 11:15:22,151][test.py][line:143][INFO] Epoch: 28, train_loss: 0.947, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 406.61 sec
[2024-04-24 11:22:12,016][test.py][line:143][INFO] Epoch: 29, train_loss: 0.9463, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 409.87 sec
[2024-04-24 11:29:03,812][test.py][line:143][INFO] Epoch: 30, train_loss: 0.9473, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.8 sec
[2024-04-24 11:35:55,774][test.py][line:143][INFO] Epoch: 31, train_loss: 0.9458, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.96 sec
[2024-04-24 11:42:46,379][test.py][line:143][INFO] Epoch: 32, train_loss: 0.9472, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 410.61 sec
[2024-04-24 11:49:37,994][test.py][line:143][INFO] Epoch: 33, train_loss: 0.9476, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.62 sec
[2024-04-24 11:56:26,426][test.py][line:143][INFO] Epoch: 34, train_loss: 0.9453, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 408.43 sec
[2024-04-24 12:03:17,817][test.py][line:143][INFO] Epoch: 35, train_loss: 0.9455, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.39 sec
[2024-04-24 12:10:11,061][test.py][line:143][INFO] Epoch: 36, train_loss: 0.9452, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 413.24 sec
[2024-04-24 12:17:10,152][test.py][line:143][INFO] Epoch: 37, train_loss: 0.9457, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 419.09 sec
[2024-04-24 12:24:07,843][test.py][line:143][INFO] Epoch: 38, train_loss: 0.946, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 417.69 sec
[2024-04-24 12:31:06,681][test.py][line:143][INFO] Epoch: 39, train_loss: 0.9472, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 418.84 sec
[2024-04-24 12:38:06,340][test.py][line:143][INFO] Epoch: 40, train_loss: 0.9461, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 419.66 sec
[2024-04-24 12:45:05,635][test.py][line:143][INFO] Epoch: 41, train_loss: 0.9464, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 419.3 sec
[2024-04-24 12:52:06,744][test.py][line:143][INFO] Epoch: 42, train_loss: 0.9467, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 421.11 sec
[2024-04-24 12:59:09,966][test.py][line:143][INFO] Epoch: 43, train_loss: 0.9467, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 423.22 sec
[2024-04-24 13:06:10,393][test.py][line:143][INFO] Epoch: 44, train_loss: 0.9455, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 420.43 sec
[2024-04-24 13:13:00,535][test.py][line:143][INFO] Epoch: 45, train_loss: 0.9468, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 410.14 sec
[2024-04-24 13:19:50,790][test.py][line:143][INFO] Epoch: 46, train_loss: 0.9459, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 410.25 sec
[2024-04-24 13:26:40,172][test.py][line:143][INFO] Epoch: 47, train_loss: 0.9446, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 409.38 sec
[2024-04-24 13:33:33,168][test.py][line:143][INFO] Epoch: 48, train_loss: 0.9459, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 413.0 sec
[2024-04-24 13:40:26,241][test.py][line:143][INFO] Epoch: 49, train_loss: 0.9469, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 413.07 sec
[2024-04-24 13:47:18,386][test.py][line:143][INFO] Epoch: 50, train_loss: 0.9472, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 412.14 sec
[2024-04-24 13:54:07,970][test.py][line:143][INFO] Epoch: 51, train_loss: 0.9461, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 409.58 sec
[2024-04-24 14:00:59,482][test.py][line:143][INFO] Epoch: 52, train_loss: 0.9463, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.51 sec
[2024-04-24 14:07:51,116][test.py][line:143][INFO] Epoch: 53, train_loss: 0.9473, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.63 sec
[2024-04-24 14:14:39,035][test.py][line:143][INFO] Epoch: 54, train_loss: 0.9468, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 407.92 sec
[2024-04-24 14:21:38,851][test.py][line:143][INFO] Epoch: 55, train_loss: 0.9466, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 419.82 sec
[2024-04-24 14:28:31,491][test.py][line:143][INFO] Epoch: 56, train_loss: 0.9454, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 412.64 sec
[2024-04-24 14:35:22,559][test.py][line:143][INFO] Epoch: 57, train_loss: 0.9475, train_acc: 50.68, train_micro_fscore: 62.96, train_macro_fscore: 22.42, time: 411.07 sec
