[2024-04-25 09:51:58,377][test.py][line:111][INFO] start training on GPU 0!
[2024-04-25 09:51:58,377][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-25 09:57:33,592][test.py][line:143][INFO] Epoch: 1, train_loss: 0.9951, train_acc: 68.79, train_micro_fscore: 76.72, train_macro_fscore: 28.03, time: 309.18 sec
[2024-04-25 10:02:55,734][test.py][line:143][INFO] Epoch: 2, train_loss: 7.1364, train_acc: 68.26, train_micro_fscore: 76.28, train_macro_fscore: 28.48, time: 322.14 sec
[2024-04-25 10:08:20,066][test.py][line:143][INFO] Epoch: 3, train_loss: 1.6836, train_acc: 69.34, train_micro_fscore: 77.18, train_macro_fscore: 27.49, time: 324.33 sec
[2024-04-25 10:13:44,966][test.py][line:143][INFO] Epoch: 4, train_loss: 1.4248, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 324.9 sec
[2024-04-25 10:19:10,996][test.py][line:143][INFO] Epoch: 5, train_loss: 0.8143, train_acc: 69.41, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 326.03 sec
[2024-04-25 10:24:32,217][test.py][line:143][INFO] Epoch: 6, train_loss: 0.8551, train_acc: 69.35, train_micro_fscore: 77.19, train_macro_fscore: 27.39, time: 321.22 sec
[2024-04-25 10:29:51,429][test.py][line:143][INFO] Epoch: 7, train_loss: 0.8177, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 319.21 sec
[2024-04-25 10:35:41,924][test.py][line:143][INFO] Epoch: 8, train_loss: 0.8107, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 350.5 sec
[2024-04-25 10:41:39,570][test.py][line:143][INFO] Epoch: 9, train_loss: 0.8119, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 357.65 sec
[2024-04-25 10:47:16,278][test.py][line:143][INFO] Epoch: 10, train_loss: 0.8114, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 336.71 sec
[2024-04-25 10:52:47,567][test.py][line:143][INFO] Epoch: 11, train_loss: 0.8223, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 331.29 sec
[2024-04-25 10:58:21,528][test.py][line:143][INFO] Epoch: 12, train_loss: 0.8125, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 333.96 sec
[2024-04-25 11:04:01,063][test.py][line:143][INFO] Epoch: 13, train_loss: 0.8113, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 339.54 sec
[2024-04-25 11:12:03,015][test.py][line:143][INFO] Epoch: 14, train_loss: 0.8116, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 481.95 sec
[2024-04-25 11:21:39,626][test.py][line:143][INFO] Epoch: 15, train_loss: 2.5892, train_acc: 69.39, train_micro_fscore: 77.23, train_macro_fscore: 27.35, time: 576.61 sec
[2024-04-25 11:31:16,810][test.py][line:143][INFO] Epoch: 16, train_loss: 0.8102, train_acc: 69.42, train_micro_fscore: 77.25, train_macro_fscore: 27.32, time: 577.18 sec
