[2024-04-22 09:34:21,358][test.py][line:111][INFO] start training on GPU 0!
[2024-04-22 09:34:21,358][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-22 09:40:03,720][test.py][line:143][INFO] Epoch: 1, train_loss: 0.8676, train_acc: 66.09, train_micro_fscore: 74.91, train_macro_fscore: 26.67, time: 315.03 sec
[2024-04-22 09:45:31,792][test.py][line:143][INFO] Epoch: 2, train_loss: 31.1111, train_acc: 64.96, train_micro_fscore: 73.92, train_macro_fscore: 27.92, time: 328.07 sec
[2024-04-22 09:51:02,083][test.py][line:143][INFO] Epoch: 3, train_loss: 2.5691, train_acc: 66.09, train_micro_fscore: 74.92, train_macro_fscore: 26.66, time: 330.29 sec
[2024-04-22 09:56:33,900][test.py][line:143][INFO] Epoch: 4, train_loss: 8.4007, train_acc: 66.15, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.82 sec
[2024-04-22 10:02:03,386][test.py][line:143][INFO] Epoch: 5, train_loss: 0.9033, train_acc: 66.15, train_micro_fscore: 74.97, train_macro_fscore: 26.56, time: 329.49 sec
[2024-04-22 10:07:34,612][test.py][line:143][INFO] Epoch: 6, train_loss: 0.849, train_acc: 66.15, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.23 sec
[2024-04-22 10:13:06,569][test.py][line:143][INFO] Epoch: 7, train_loss: 0.8492, train_acc: 66.15, train_micro_fscore: 74.98, train_macro_fscore: 26.56, time: 331.96 sec
[2024-04-22 10:18:37,186][test.py][line:143][INFO] Epoch: 8, train_loss: 0.8485, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.62 sec
[2024-04-22 10:24:06,993][test.py][line:143][INFO] Epoch: 9, train_loss: 0.8503, train_acc: 66.15, train_micro_fscore: 74.98, train_macro_fscore: 26.56, time: 329.81 sec
[2024-04-22 10:29:34,344][test.py][line:143][INFO] Epoch: 10, train_loss: 0.8497, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.35 sec
[2024-04-22 10:35:00,960][test.py][line:143][INFO] Epoch: 11, train_loss: 0.848, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.62 sec
[2024-04-22 10:40:30,021][test.py][line:143][INFO] Epoch: 12, train_loss: 0.8487, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.06 sec
[2024-04-22 10:45:57,550][test.py][line:143][INFO] Epoch: 13, train_loss: 0.8486, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.53 sec
[2024-04-22 10:51:23,416][test.py][line:143][INFO] Epoch: 14, train_loss: 0.8481, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 325.86 sec
[2024-04-22 10:56:51,251][test.py][line:143][INFO] Epoch: 15, train_loss: 0.8486, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.84 sec
[2024-04-22 11:02:16,123][test.py][line:143][INFO] Epoch: 16, train_loss: 0.85, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 324.87 sec
[2024-04-22 11:07:48,060][test.py][line:143][INFO] Epoch: 17, train_loss: 0.85, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.94 sec
[2024-04-22 11:13:33,899][test.py][line:143][INFO] Epoch: 18, train_loss: 0.8482, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 345.84 sec
[2024-04-22 11:19:54,355][test.py][line:143][INFO] Epoch: 19, train_loss: 0.8497, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 380.46 sec
[2024-04-22 11:25:47,279][test.py][line:143][INFO] Epoch: 20, train_loss: 0.849, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 352.92 sec
[2024-04-22 11:31:18,164][test.py][line:143][INFO] Epoch: 21, train_loss: 0.8501, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.88 sec
[2024-04-22 11:36:50,480][test.py][line:143][INFO] Epoch: 22, train_loss: 0.8499, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 332.32 sec
[2024-04-22 11:42:16,726][test.py][line:143][INFO] Epoch: 23, train_loss: 0.8489, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.25 sec
[2024-04-22 11:47:47,841][test.py][line:143][INFO] Epoch: 24, train_loss: 0.8485, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.12 sec
[2024-04-22 11:53:17,546][test.py][line:143][INFO] Epoch: 25, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.7 sec
[2024-04-22 11:58:46,630][test.py][line:143][INFO] Epoch: 26, train_loss: 0.8506, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.08 sec
[2024-04-22 12:04:15,686][test.py][line:143][INFO] Epoch: 27, train_loss: 0.8478, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.06 sec
[2024-04-22 12:09:42,096][test.py][line:143][INFO] Epoch: 28, train_loss: 0.8492, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.41 sec
[2024-04-22 12:15:10,684][test.py][line:143][INFO] Epoch: 29, train_loss: 0.8491, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.59 sec
[2024-04-22 12:20:40,110][test.py][line:143][INFO] Epoch: 30, train_loss: 0.8502, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.43 sec
[2024-04-22 12:26:10,548][test.py][line:143][INFO] Epoch: 31, train_loss: 0.8483, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 330.44 sec
[2024-04-22 12:31:37,031][test.py][line:143][INFO] Epoch: 32, train_loss: 0.85, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.48 sec
[2024-04-22 12:37:08,461][test.py][line:143][INFO] Epoch: 33, train_loss: 0.8503, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 331.43 sec
[2024-04-22 12:42:35,568][test.py][line:143][INFO] Epoch: 34, train_loss: 0.8485, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 327.11 sec
[2024-04-22 12:48:05,205][test.py][line:143][INFO] Epoch: 35, train_loss: 0.8487, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.64 sec
[2024-04-22 12:53:34,055][test.py][line:143][INFO] Epoch: 36, train_loss: 0.8501, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.85 sec
[2024-04-22 12:59:01,041][test.py][line:143][INFO] Epoch: 37, train_loss: 0.8502, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 326.99 sec
[2024-04-22 13:04:30,053][test.py][line:143][INFO] Epoch: 38, train_loss: 0.8487, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 329.01 sec
[2024-04-22 13:09:58,604][test.py][line:143][INFO] Epoch: 39, train_loss: 0.8501, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 328.55 sec
[2024-04-22 13:15:24,559][test.py][line:143][INFO] Epoch: 40, train_loss: 0.8495, train_acc: 66.16, train_micro_fscore: 74.98, train_macro_fscore: 26.54, time: 325.95 sec
