[2024-04-21 09:08:54,376][test.py][line:111][INFO] start training on GPU 0!
[2024-04-21 09:08:54,376][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-21 09:15:01,804][test.py][line:143][INFO] Epoch: 1, train_loss: 1.1495, train_acc: 46.88, train_micro_fscore: 23.08, train_macro_fscore: 29.4, time: 340.41 sec
[2024-04-21 09:20:42,336][test.py][line:143][INFO] Epoch: 2, train_loss: 2.8191, train_acc: 47.97, train_micro_fscore: 15.72, train_macro_fscore: 27.45, time: 340.53 sec
[2024-04-21 09:26:19,954][test.py][line:143][INFO] Epoch: 3, train_loss: 2.254, train_acc: 48.84, train_micro_fscore: 2.61, train_macro_fscore: 22.87, time: 337.62 sec
[2024-04-21 09:31:56,818][test.py][line:143][INFO] Epoch: 4, train_loss: 0.9546, train_acc: 48.86, train_micro_fscore: 1.0, train_macro_fscore: 22.27, time: 336.86 sec
[2024-04-21 09:37:49,836][test.py][line:143][INFO] Epoch: 5, train_loss: 0.963, train_acc: 48.93, train_micro_fscore: 0.97, train_macro_fscore: 22.28, time: 353.02 sec
[2024-04-21 09:46:08,533][test.py][line:143][INFO] Epoch: 6, train_loss: 0.9508, train_acc: 48.91, train_micro_fscore: 1.07, train_macro_fscore: 22.31, time: 498.69 sec
[2024-04-21 09:53:36,762][test.py][line:143][INFO] Epoch: 7, train_loss: 1.0092, train_acc: 48.8, train_micro_fscore: 1.6, train_macro_fscore: 22.49, time: 448.23 sec
[2024-04-21 10:02:18,995][test.py][line:143][INFO] Epoch: 8, train_loss: 0.9493, train_acc: 48.88, train_micro_fscore: 1.31, train_macro_fscore: 22.39, time: 522.23 sec
[2024-04-21 10:11:01,635][test.py][line:143][INFO] Epoch: 9, train_loss: 0.9538, train_acc: 48.89, train_micro_fscore: 0.52, train_macro_fscore: 22.09, time: 522.64 sec
[2024-04-21 10:18:47,834][test.py][line:143][INFO] Epoch: 10, train_loss: 1.02, train_acc: 48.86, train_micro_fscore: 1.61, train_macro_fscore: 22.5, time: 466.2 sec
[2024-04-21 10:25:46,798][test.py][line:143][INFO] Epoch: 11, train_loss: 0.9502, train_acc: 48.93, train_micro_fscore: 0.64, train_macro_fscore: 22.15, time: 418.96 sec
[2024-04-21 10:32:56,360][test.py][line:143][INFO] Epoch: 12, train_loss: 0.9509, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 429.56 sec
[2024-04-21 10:39:12,806][test.py][line:143][INFO] Epoch: 13, train_loss: 0.9496, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 376.45 sec
[2024-04-21 10:45:13,029][test.py][line:143][INFO] Epoch: 14, train_loss: 0.9503, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 360.22 sec
[2024-04-21 10:51:13,646][test.py][line:143][INFO] Epoch: 15, train_loss: 0.9505, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 360.62 sec
[2024-04-21 10:57:15,154][test.py][line:143][INFO] Epoch: 16, train_loss: 0.95, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 361.51 sec
[2024-04-21 11:03:19,467][test.py][line:143][INFO] Epoch: 17, train_loss: 0.9509, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 364.31 sec
[2024-04-21 11:09:12,218][test.py][line:143][INFO] Epoch: 18, train_loss: 0.9506, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 352.75 sec
[2024-04-21 11:15:08,851][test.py][line:143][INFO] Epoch: 19, train_loss: 0.9497, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 356.63 sec
[2024-04-21 11:21:06,965][test.py][line:143][INFO] Epoch: 20, train_loss: 0.95, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 358.11 sec
[2024-04-21 11:27:03,409][test.py][line:143][INFO] Epoch: 21, train_loss: 0.9505, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 356.44 sec
[2024-04-21 11:33:04,053][test.py][line:143][INFO] Epoch: 22, train_loss: 0.9509, train_acc: 48.94, train_micro_fscore: 0.0, train_macro_fscore: 21.91, time: 360.64 sec
