[2024-04-23 09:25:45,746][test.py][line:111][INFO] start training on GPU 0!
[2024-04-23 09:25:45,746][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=2, gnn_layers=2, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.001, dropout=0.6, batch_size=8, epochs=60, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-23 09:30:58,920][test.py][line:143][INFO] Epoch: 1, train_loss: 1.2332, train_acc: 50.5, train_micro_fscore: 61.54, train_macro_fscore: 26.97, time: 287.4 sec
[2024-04-23 09:36:04,252][test.py][line:143][INFO] Epoch: 2, train_loss: 2.5754, train_acc: 51.29, train_micro_fscore: 62.94, train_macro_fscore: 24.81, time: 305.33 sec
[2024-04-23 09:41:07,545][test.py][line:143][INFO] Epoch: 3, train_loss: 1.0667, train_acc: 51.75, train_micro_fscore: 63.72, train_macro_fscore: 23.37, time: 303.29 sec
[2024-04-23 09:46:11,959][test.py][line:143][INFO] Epoch: 4, train_loss: 0.9464, train_acc: 51.86, train_micro_fscore: 63.95, train_macro_fscore: 22.8, time: 304.41 sec
[2024-04-23 09:51:19,255][test.py][line:143][INFO] Epoch: 5, train_loss: 0.9428, train_acc: 51.87, train_micro_fscore: 63.96, train_macro_fscore: 22.82, time: 307.3 sec
[2024-04-23 09:56:24,494][test.py][line:143][INFO] Epoch: 6, train_loss: 0.9503, train_acc: 51.87, train_micro_fscore: 63.96, train_macro_fscore: 22.81, time: 305.24 sec
[2024-04-23 10:01:32,390][test.py][line:143][INFO] Epoch: 7, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.97, train_macro_fscore: 22.77, time: 307.89 sec
[2024-04-23 10:06:41,517][test.py][line:143][INFO] Epoch: 8, train_loss: 0.9416, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.78, time: 309.13 sec
[2024-04-23 10:11:47,566][test.py][line:143][INFO] Epoch: 9, train_loss: 0.9439, train_acc: 51.88, train_micro_fscore: 63.97, train_macro_fscore: 22.79, time: 306.05 sec
[2024-04-23 10:17:01,495][test.py][line:143][INFO] Epoch: 10, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 313.93 sec
[2024-04-23 10:22:27,701][test.py][line:143][INFO] Epoch: 11, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.21 sec
[2024-04-23 10:27:54,861][test.py][line:143][INFO] Epoch: 12, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 327.16 sec
[2024-04-23 10:33:23,246][test.py][line:143][INFO] Epoch: 13, train_loss: 0.9423, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.39 sec
[2024-04-23 10:38:47,453][test.py][line:143][INFO] Epoch: 14, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 324.21 sec
[2024-04-23 10:44:12,983][test.py][line:143][INFO] Epoch: 15, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.53 sec
[2024-04-23 10:49:41,173][test.py][line:143][INFO] Epoch: 16, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.19 sec
[2024-04-23 10:55:06,988][test.py][line:143][INFO] Epoch: 17, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.82 sec
[2024-04-23 11:00:32,575][test.py][line:143][INFO] Epoch: 18, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.59 sec
[2024-04-23 11:06:01,751][test.py][line:143][INFO] Epoch: 19, train_loss: 0.9429, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.18 sec
[2024-04-23 11:11:31,328][test.py][line:143][INFO] Epoch: 20, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.58 sec
[2024-04-23 11:16:58,094][test.py][line:143][INFO] Epoch: 21, train_loss: 0.9434, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.77 sec
[2024-04-23 11:22:23,582][test.py][line:143][INFO] Epoch: 22, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.49 sec
[2024-04-23 11:27:52,363][test.py][line:143][INFO] Epoch: 23, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.78 sec
[2024-04-23 11:33:21,919][test.py][line:143][INFO] Epoch: 24, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.56 sec
[2024-04-23 11:38:46,008][test.py][line:143][INFO] Epoch: 25, train_loss: 0.9436, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 324.09 sec
[2024-04-23 11:44:09,648][test.py][line:143][INFO] Epoch: 26, train_loss: 0.9442, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 323.64 sec
[2024-04-23 11:49:34,677][test.py][line:143][INFO] Epoch: 27, train_loss: 0.9421, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.03 sec
[2024-04-23 11:54:56,986][test.py][line:143][INFO] Epoch: 28, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 322.31 sec
[2024-04-23 12:00:23,973][test.py][line:143][INFO] Epoch: 29, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.99 sec
[2024-04-23 12:05:51,579][test.py][line:143][INFO] Epoch: 30, train_loss: 0.9442, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 327.61 sec
[2024-04-23 12:11:18,054][test.py][line:143][INFO] Epoch: 31, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.48 sec
[2024-04-23 12:16:43,203][test.py][line:143][INFO] Epoch: 32, train_loss: 0.9441, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.15 sec
[2024-04-23 12:22:11,166][test.py][line:143][INFO] Epoch: 33, train_loss: 0.9445, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 327.96 sec
[2024-04-23 12:27:35,904][test.py][line:143][INFO] Epoch: 34, train_loss: 0.942, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 324.74 sec
[2024-04-23 12:33:04,638][test.py][line:143][INFO] Epoch: 35, train_loss: 0.942, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.73 sec
[2024-04-23 12:38:32,210][test.py][line:143][INFO] Epoch: 36, train_loss: 0.9418, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 327.57 sec
[2024-04-23 12:43:58,034][test.py][line:143][INFO] Epoch: 37, train_loss: 0.9426, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 325.82 sec
[2024-04-23 12:49:26,154][test.py][line:143][INFO] Epoch: 38, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.12 sec
[2024-04-23 12:54:59,400][test.py][line:143][INFO] Epoch: 39, train_loss: 0.9437, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 333.25 sec
[2024-04-23 13:00:25,473][test.py][line:143][INFO] Epoch: 40, train_loss: 0.9427, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.07 sec
[2024-04-23 13:05:53,964][test.py][line:143][INFO] Epoch: 41, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.49 sec
[2024-04-23 13:11:22,785][test.py][line:143][INFO] Epoch: 42, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.82 sec
[2024-04-23 13:16:52,401][test.py][line:143][INFO] Epoch: 43, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.62 sec
[2024-04-23 13:22:30,727][test.py][line:143][INFO] Epoch: 44, train_loss: 0.9418, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 338.33 sec
[2024-04-23 13:27:58,951][test.py][line:143][INFO] Epoch: 45, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.22 sec
[2024-04-23 13:33:33,820][test.py][line:143][INFO] Epoch: 46, train_loss: 0.9425, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 334.87 sec
[2024-04-23 13:39:06,902][test.py][line:143][INFO] Epoch: 47, train_loss: 0.9417, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 333.08 sec
[2024-04-23 13:44:35,153][test.py][line:143][INFO] Epoch: 48, train_loss: 0.9426, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.25 sec
[2024-04-23 13:50:04,924][test.py][line:143][INFO] Epoch: 49, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.77 sec
[2024-04-23 13:55:33,372][test.py][line:143][INFO] Epoch: 50, train_loss: 0.944, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.45 sec
[2024-04-23 14:01:03,736][test.py][line:143][INFO] Epoch: 51, train_loss: 0.9428, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 330.36 sec
[2024-04-23 14:06:34,519][test.py][line:143][INFO] Epoch: 52, train_loss: 0.943, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 330.78 sec
[2024-04-23 14:12:01,359][test.py][line:143][INFO] Epoch: 53, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.84 sec
[2024-04-23 14:17:28,215][test.py][line:143][INFO] Epoch: 54, train_loss: 0.9439, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 326.86 sec
[2024-04-23 14:22:57,504][test.py][line:143][INFO] Epoch: 55, train_loss: 0.9435, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.29 sec
[2024-04-23 14:28:28,424][test.py][line:143][INFO] Epoch: 56, train_loss: 0.9422, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 330.92 sec
[2024-04-23 14:33:58,152][test.py][line:143][INFO] Epoch: 57, train_loss: 0.9441, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 329.73 sec
[2024-04-23 14:39:27,092][test.py][line:143][INFO] Epoch: 58, train_loss: 0.9442, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 328.94 sec
[2024-04-23 14:44:58,056][test.py][line:143][INFO] Epoch: 59, train_loss: 0.9438, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 330.96 sec
[2024-04-23 14:50:29,198][test.py][line:143][INFO] Epoch: 60, train_loss: 0.9419, train_acc: 51.88, train_micro_fscore: 63.98, train_macro_fscore: 22.77, time: 331.14 sec
[2024-04-23 14:50:29,198][test.py][line:151][INFO] finish training!
