[2024-04-09 12:33:34,548][test.py][line:111][INFO] start training on GPU 0!
[2024-04-09 12:33:34,548][test.py][line:112][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=768, hidden_dim=512, mlp_layers=4, gnn_layers=4, emb_dim=768, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=1, windowf=0, max_grad_norm=5.0, lr=0.1, dropout=0, batch_size=8, epochs=100, tensorboard=False, nodal_att_type=None, cuda=False)
[2024-04-09 12:34:53,774][test.py][line:144][INFO] Epoch: 1, train_loss: 1.0934, train_acc: 49.19, train_micro_fscore: 8.49, train_macro_fscore: 26.36, time: 18.96 sec
[2024-04-09 12:35:13,944][test.py][line:144][INFO] Epoch: 2, train_loss: 1.0989, train_acc: 49.83, train_micro_fscore: 6.57, train_macro_fscore: 24.93, time: 20.17 sec
[2024-04-09 12:35:34,233][test.py][line:144][INFO] Epoch: 3, train_loss: 1.1004, train_acc: 49.96, train_micro_fscore: 2.05, train_macro_fscore: 23.54, time: 20.29 sec
[2024-04-09 12:35:53,815][test.py][line:144][INFO] Epoch: 4, train_loss: 1.1003, train_acc: 50.3, train_micro_fscore: 0.92, train_macro_fscore: 22.82, time: 19.58 sec
[2024-04-09 12:36:13,333][test.py][line:144][INFO] Epoch: 5, train_loss: 1.1005, train_acc: 50.31, train_micro_fscore: 0.98, train_macro_fscore: 22.85, time: 19.52 sec
[2024-04-09 12:36:33,290][test.py][line:144][INFO] Epoch: 6, train_loss: 1.1006, train_acc: 50.22, train_micro_fscore: 1.15, train_macro_fscore: 23.05, time: 19.96 sec
[2024-04-09 12:36:52,875][test.py][line:144][INFO] Epoch: 7, train_loss: 1.1004, train_acc: 50.35, train_micro_fscore: 0.88, train_macro_fscore: 22.77, time: 19.59 sec
[2024-04-09 12:37:12,571][test.py][line:144][INFO] Epoch: 8, train_loss: 1.1012, train_acc: 50.34, train_micro_fscore: 2.27, train_macro_fscore: 23.3, time: 19.7 sec
[2024-04-09 12:37:32,330][test.py][line:144][INFO] Epoch: 9, train_loss: 1.1019, train_acc: 50.33, train_micro_fscore: 3.21, train_macro_fscore: 23.64, time: 19.76 sec
[2024-04-09 12:37:52,137][test.py][line:144][INFO] Epoch: 10, train_loss: 1.1019, train_acc: 50.3, train_micro_fscore: 3.02, train_macro_fscore: 23.56, time: 19.81 sec
[2024-04-09 12:38:12,320][test.py][line:144][INFO] Epoch: 11, train_loss: 1.1021, train_acc: 50.28, train_micro_fscore: 2.92, train_macro_fscore: 23.53, time: 20.18 sec
[2024-04-09 12:38:32,012][test.py][line:144][INFO] Epoch: 12, train_loss: 1.1019, train_acc: 50.3, train_micro_fscore: 2.99, train_macro_fscore: 23.52, time: 19.69 sec
[2024-04-09 12:38:52,048][test.py][line:144][INFO] Epoch: 13, train_loss: 1.1018, train_acc: 50.34, train_micro_fscore: 3.11, train_macro_fscore: 23.59, time: 20.04 sec
[2024-04-09 12:39:11,616][test.py][line:144][INFO] Epoch: 14, train_loss: 1.1009, train_acc: 50.33, train_micro_fscore: 2.2, train_macro_fscore: 23.21, time: 19.57 sec
[2024-04-09 12:39:31,410][test.py][line:144][INFO] Epoch: 15, train_loss: 1.1011, train_acc: 50.33, train_micro_fscore: 1.94, train_macro_fscore: 23.14, time: 19.79 sec
[2024-04-09 12:39:51,445][test.py][line:144][INFO] Epoch: 16, train_loss: 1.1015, train_acc: 50.28, train_micro_fscore: 2.03, train_macro_fscore: 23.21, time: 20.04 sec
[2024-04-09 12:40:11,276][test.py][line:144][INFO] Epoch: 17, train_loss: 1.1011, train_acc: 50.11, train_micro_fscore: 0.72, train_macro_fscore: 23.02, time: 19.83 sec
[2024-04-09 12:40:30,755][test.py][line:144][INFO] Epoch: 18, train_loss: 1.1011, train_acc: 50.14, train_micro_fscore: 1.31, train_macro_fscore: 23.32, time: 19.48 sec
[2024-04-09 12:40:50,440][test.py][line:144][INFO] Epoch: 19, train_loss: 1.1012, train_acc: 50.19, train_micro_fscore: 1.44, train_macro_fscore: 23.42, time: 19.68 sec
[2024-04-09 12:41:10,029][test.py][line:144][INFO] Epoch: 20, train_loss: 1.1014, train_acc: 50.13, train_micro_fscore: 1.2, train_macro_fscore: 23.29, time: 19.59 sec
[2024-04-09 12:41:29,931][test.py][line:144][INFO] Epoch: 21, train_loss: 1.1015, train_acc: 50.09, train_micro_fscore: 1.33, train_macro_fscore: 23.14, time: 19.9 sec
[2024-04-09 12:41:49,381][test.py][line:144][INFO] Epoch: 22, train_loss: 1.101, train_acc: 50.16, train_micro_fscore: 1.4, train_macro_fscore: 23.01, time: 19.45 sec
[2024-04-09 12:42:09,775][test.py][line:144][INFO] Epoch: 23, train_loss: 1.1016, train_acc: 50.15, train_micro_fscore: 1.54, train_macro_fscore: 23.12, time: 20.39 sec
[2024-04-09 12:42:29,553][test.py][line:144][INFO] Epoch: 24, train_loss: 1.1009, train_acc: 50.26, train_micro_fscore: 1.56, train_macro_fscore: 23.18, time: 19.78 sec
[2024-04-09 12:42:49,197][test.py][line:144][INFO] Epoch: 25, train_loss: 1.1012, train_acc: 50.16, train_micro_fscore: 1.5, train_macro_fscore: 23.09, time: 19.64 sec
[2024-04-09 12:43:09,357][test.py][line:144][INFO] Epoch: 26, train_loss: 1.1015, train_acc: 50.15, train_micro_fscore: 1.5, train_macro_fscore: 23.07, time: 20.16 sec
[2024-04-09 12:43:29,018][test.py][line:144][INFO] Epoch: 27, train_loss: 1.101, train_acc: 50.18, train_micro_fscore: 1.39, train_macro_fscore: 23.08, time: 19.66 sec
[2024-04-09 12:43:48,716][test.py][line:144][INFO] Epoch: 28, train_loss: 1.1009, train_acc: 50.21, train_micro_fscore: 1.45, train_macro_fscore: 23.12, time: 19.7 sec
[2024-04-09 12:44:08,348][test.py][line:144][INFO] Epoch: 29, train_loss: 1.1004, train_acc: 50.23, train_micro_fscore: 1.09, train_macro_fscore: 22.86, time: 19.63 sec
[2024-04-09 12:44:28,733][test.py][line:144][INFO] Epoch: 30, train_loss: 1.0997, train_acc: 50.35, train_micro_fscore: 1.0, train_macro_fscore: 22.79, time: 20.38 sec
[2024-04-09 12:44:48,687][test.py][line:144][INFO] Epoch: 31, train_loss: 1.0999, train_acc: 50.32, train_micro_fscore: 0.99, train_macro_fscore: 22.79, time: 19.95 sec
[2024-04-09 12:45:08,399][test.py][line:144][INFO] Epoch: 32, train_loss: 1.1001, train_acc: 50.32, train_micro_fscore: 0.83, train_macro_fscore: 22.76, time: 19.71 sec
[2024-04-09 12:45:28,056][test.py][line:144][INFO] Epoch: 33, train_loss: 1.1002, train_acc: 50.32, train_micro_fscore: 0.83, train_macro_fscore: 22.81, time: 19.66 sec
[2024-04-09 12:45:47,987][test.py][line:144][INFO] Epoch: 34, train_loss: 1.1004, train_acc: 50.28, train_micro_fscore: 0.68, train_macro_fscore: 22.75, time: 19.93 sec
[2024-04-09 12:46:08,015][test.py][line:144][INFO] Epoch: 35, train_loss: 1.1, train_acc: 50.35, train_micro_fscore: 0.86, train_macro_fscore: 22.83, time: 20.03 sec
[2024-04-09 12:46:28,014][test.py][line:144][INFO] Epoch: 36, train_loss: 1.1001, train_acc: 50.33, train_micro_fscore: 0.82, train_macro_fscore: 22.78, time: 20.0 sec
[2024-04-09 12:46:48,067][test.py][line:144][INFO] Epoch: 37, train_loss: 1.1001, train_acc: 50.34, train_micro_fscore: 0.84, train_macro_fscore: 22.82, time: 20.05 sec
[2024-04-09 12:47:07,888][test.py][line:144][INFO] Epoch: 38, train_loss: 1.1003, train_acc: 50.27, train_micro_fscore: 0.79, train_macro_fscore: 22.76, time: 19.82 sec
[2024-04-09 12:47:27,726][test.py][line:144][INFO] Epoch: 39, train_loss: 1.1, train_acc: 50.37, train_micro_fscore: 0.88, train_macro_fscore: 22.8, time: 19.84 sec
[2024-04-09 12:47:47,651][test.py][line:144][INFO] Epoch: 40, train_loss: 1.0999, train_acc: 50.39, train_micro_fscore: 0.88, train_macro_fscore: 22.77, time: 19.93 sec
[2024-04-09 12:48:07,851][test.py][line:144][INFO] Epoch: 41, train_loss: 1.1, train_acc: 50.39, train_micro_fscore: 0.84, train_macro_fscore: 22.79, time: 20.2 sec
